,Yoon,Barton,Name,Corr,dx/sx,Cons/prog,Ind/col,Flame,Agreeableness,Conscientiousness,Em Stability,Extroversion,Openness,Social Use
0,0.12143867554062542,9.416666666666666,R_xGAVvdhvteIuT3b,0.4205264244413331,86.0,2.0,39.0,58.0,23.5,41.5,2.5,33.0,39.5,14.833333333333334
1,0.17785486045177698,14.5,R_tScCVFecr6dlXGN,-0.3221127617519209,30.0,2.0,6.0,40.0,16.5,61.0,35.5,11.0,82.5,25.5
2,0.26856189309541517,19.666666666666668,R_rlrvLDsyqZxBbXP,0.770540374901326,48.0,21.0,37.0,21.0,70.5,45.5,41.5,45.0,39.0,19.166666666666668
3,0.4265560546959249,34.083333333333336,R_qF6YsqjzCmyMGNb,0.385022216122292,21.0,81.0,48.0,51.0,88.5,37.0,21.5,20.0,17.5,38.833333333333336
4,0.11454535378524748,8.75,R_pofupKms0WblSQV,0.2701100872847861,99.0,9.0,45.0,21.0,85.0,54.0,35.0,64.5,74.0,69.66666666666667
5,0.1063462449309525,10.25,R_pH0SbKbwwDBLKQF,0.5107168318195254,30.0,4.0,69.0,22.0,10.5,60.5,67.0,14.5,64.0,18.0
6,0.045077507533785144,4.416666666666667,R_ebdqL0VlEIL6XUR,0.7120039583127944,86.0,5.0,7.0,8.0,77.0,81.5,1.0,29.5,86.0,51.333333333333336
7,0.15078337723891652,11.666666666666666,R_eQjdQQwDBfbCnQt,-0.1475360276438959,48.0,16.0,36.0,4.0,58.0,52.0,51.5,12.5,56.0,12.0
8,0.34073991080772376,23.416666666666668,R_e9tPAFy96KZQlrz,0.0397215584906117,69.0,3.0,2.0,17.0,19.5,45.0,62.0,16.5,80.5,61.16666666666666
9,0.3680123777927308,29.416666666666668,R_cSxlUxA0nNW9oJP,-0.1657830791900638,71.0,23.0,41.0,33.0,69.0,52.5,11.5,15.0,75.0,71.5
10,0.20540172148206562,15.083333333333334,R_cSkC0WYSk5BDIu5,0.472182597646727,63.0,33.0,51.0,1.0,39.0,69.0,23.5,3.5,89.0,1.0
11,0.3294152359476568,28.0,R_b0WP94xjPTrB4XL,0.8395977144179272,48.0,1.0,16.0,4.0,22.0,38.5,65.0,15.0,77.5,23.666666666666668
12,0.17658627486783005,15.5,R_ZyIOm9jUJzXiwVz,0.8991293650796509,69.0,25.0,16.0,4.0,52.5,23.5,79.5,14.5,46.0,44.5
13,0.2683740488977612,23.833333333333332,R_YSKZPjFQgkbInOF,0.5268655228488976,25.0,35.0,36.0,18.0,40.0,81.5,44.5,66.5,47.5,15.333333333333334
14,0.4109595099074233,33.333333333333336,R_Xq6fjy65aEpGtjz,-0.5654263720629517,50.0,1.0,2.0,8.0,21.5,57.0,32.0,33.0,87.5,51.833333333333336
15,0.10923844632632211,10.166666666666666,R_XRmT6PKstlkXYuR,0.7878567704313189,55.0,2.0,24.0,40.0,45.0,33.0,32.5,65.0,70.5,24.0
16,0.11956798217339643,8.0,R_XRQiXEDDjBjRyrT,-0.3429467518801634,15.0,1.0,21.0,63.0,54.0,14.0,68.0,24.5,54.0,41.333333333333336
17,0.06838524842189167,5.833333333333333,R_WeTtjEgXkiXRFTP,-0.1116934428428829,71.0,10.0,23.0,17.0,52.5,55.5,30.0,23.5,46.0,38.0
18,0.31033843590544624,30.833333333333332,R_UReTbeVTf5NOwbD,0.6448258937633483,100.0,0.0,0.0,11.0,48.5,68.0,50.0,0.0,100.0,27.5
19,0.18369314262495492,17.833333333333332,R_UMS5sykbn09UxAB,0.6087099656770129,70.0,16.0,52.0,1.0,73.5,38.5,37.5,50.5,65.0,77.83333333333333
20,0.31282169098014617,24.916666666666668,R_T8bkT7EbU7spzON,0.9588417498291364,50.0,22.0,7.0,41.0,48.5,73.5,50.0,5.0,98.0,58.333333333333336
21,0.08775424000097405,7.666666666666667,R_Rh8QOgUI9DxExMt,-0.0160771334798831,58.0,18.0,31.0,4.0,32.5,63.0,33.0,78.5,56.0,31.0
22,0.2676850224837047,22.666666666666668,R_Q3qrJXK8rVfiZDb,0.7027277814161401,100.0,4.0,42.0,61.0,36.0,49.0,2.5,46.0,85.5,74.16666666666667
23,0.03591153018434625,3.4166666666666665,R_PILkgYbv69EO8z7,0.4708268580846267,67.0,2.0,50.0,19.0,80.5,83.0,43.0,52.5,94.0,43.833333333333336
24,0.4120975070876766,37.5,R_OI3DIcSu8aqQ2nn,-0.2245641894193774,59.0,21.0,10.0,82.0,40.0,82.0,18.0,4.5,96.0,19.666666666666668
25,0.19450823745947046,15.416666666666666,R_DpzuxUb2GGljDAB,-0.1186035903162461,100.0,21.0,35.0,36.0,69.0,75.0,29.5,39.5,96.0,33.666666666666664
26,0.2635226209290635,16.75,R_D18xknBJWEM7Z73,0.8092239150180572,75.0,19.0,52.0,7.0,44.5,40.0,60.5,14.0,48.5,65.66666666666667
27,0.07577562292650575,7.416666666666667,R_C4dwCQkBm1bDW4V,0.5200269498649138,100.0,1.0,14.0,2.0,28.5,57.5,9.0,61.5,95.5,19.166666666666668
28,0.16546451113779798,13.083333333333334,R_C1crdfqhKyj1ENb,0.2237744607565309,100.0,3.0,77.0,49.0,89.0,43.0,39.5,95.0,85.0,30.166666666666668
29,0.32394351328414833,26.166666666666668,R_BzFnkhWvprUXSaB,0.6965665098755883,100.0,5.0,54.0,79.0,55.0,47.0,41.0,35.5,71.5,55.333333333333336
30,0.27599859554080847,25.916666666666668,R_Au23y8R2B8Hn3tD,0.6273406643014432,47.0,0.0,24.0,12.0,44.0,44.5,25.5,7.5,52.5,48.833333333333336
31,0.2757648050105856,19.75,R_9oGnhMCxg6NnIYx,0.4729959250826595,100.0,5.0,83.0,34.0,67.0,19.5,19.0,29.0,43.0,83.66666666666667
32,0.099466658935136,8.416666666666666,R_8CFDnnX1hAdKnip,0.429833008068404,62.0,7.0,4.0,56.0,85.5,44.0,53.0,21.5,79.0,26.5
33,0.29265580857411916,26.583333333333332,R_88lSvusQSY1LWRr,0.3155974179314256,51.0,2.0,1.0,3.0,52.5,70.0,51.5,50.0,54.5,2.0
34,0.27511480048714093,23.25,R_6zACrclgVbLMB2h,-0.1529183350831925,26.0,20.0,45.0,13.0,57.5,51.5,26.0,21.5,17.0,58.833333333333336
35,0.3528586198803903,25.583333333333332,R_6PrLCtzqNrZo51L,-0.6766099661726673,75.0,1.0,19.0,40.0,53.0,38.0,24.5,23.5,61.0,37.0
36,0.3153655662590725,23.333333333333332,R_5mPI7n14M3pSBm9,0.3633119898642342,91.0,2.0,3.0,50.0,54.5,35.0,33.0,24.0,91.0,47.833333333333336
37,0.15346196193907335,10.583333333333334,R_5jUoSPjyLj5XTjz,0.5042382227263842,51.0,4.0,17.0,23.0,71.5,69.0,21.5,43.5,74.5,30.166666666666668
38,0.2753314297413141,26.0,R_5dIRWthnSgHADCh,0.973773230587035,100.0,2.0,100.0,100.0,60.0,72.0,72.0,9.0,54.0,34.666666666666664
39,0.25493532471107555,20.666666666666668,R_4SDCAs7bhcT9ZBv,-0.4600134431783306,62.0,49.0,43.0,11.0,55.0,83.0,65.0,54.5,58.5,0.8333333333333334
40,0.29533399558360834,23.583333333333332,R_3qwDQXkkFH0I4w8,-0.3451708497134952,76.0,36.0,42.0,29.0,69.5,53.5,68.0,57.5,64.5,45.0
